TRIP_ID,LATITUDE,LONGITUDE,PUBLIC
T221,41.157153,-8.628408,False
T222,41.136273,-8.599302,False
T223,41.165226,-8.657658,False
T224,41.188356,-8.589807,True
T225,41.134275,-8.626068,False
T226,41.154615,-8.660979,False
T227,41.166243,-8.649306,False
T228,41.237055,-8.670042,False
T229,41.140413,-8.613126,False
T230,41.144463,-8.606043,False
T231,41.153616,-8.608086,True
T232,41.178546,-8.634546,False
T233,41.146245,-8.617617,False
T234,41.147001,-8.590023,True
T235,41.140746,-8.617131,True
T236,41.122953,-8.663724,False
T237,41.15376,-8.596962,True
T238,41.123088,-8.585586,False
T239,41.175405,-8.65629,True
T240,41.173839,-8.68878,True
T241,41.133609,-8.564121,False
T242,41.156487,-8.596395,False
T243,41.160429,-8.644014,True
T244,40.978548,-8.634276,True
T245,41.170563,-8.61282,False
T246,41.163714,-8.675037,True
T247,41.184855,-8.695305,True
T248,41.15295,-8.668548,True
T249,41.174289,-8.648604,False
T250,41.166072,-8.579484,False
T251,41.174397,-8.64873,True
T252,41.162337,-8.644257,False
T253,41.176026,-8.557317,True
T254,41.135841,-8.660781,False
T255,41.137866,-8.623485,True
T256,41.2371,-8.669844,True
T257,41.151564,-8.664678,True
T258,41.149476,-8.588772,True
T259,41.162256,-8.621019,True
T260,41.154948,-8.630622,True
T261,41.091507,-8.650053,True
T262,41.184441,-8.609562,False
T263,41.15358,-8.610039,True
T264,41.155065,-8.602821,False
T265,41.160249,-8.674308,False
T266,41.178582,-8.576883,True
T267,41.155533,-8.602578,False
T268,41.154417,-8.645841,True
T269,41.127849,-8.626932,False
T270,41.165406,-8.659107,True
T271,41.237505,-8.670276,True
T272,41.116302,-8.586954,True
T273,41.174226,-8.648532,False
T274,41.1858,-8.694495,True
T275,41.157837,-8.67996,True
T276,41.182074,-8.685306,True
T277,41.154075,-8.650152,True
T278,41.157603,-8.680941,True
T279,41.167224,-8.649486,True
T280,41.166432,-8.612334,False
T281,41.148315,-8.612973,False
T282,41.126121,-8.602047,False
T283,41.154444,-8.602596,True
T284,41.163921,-8.601714,True
T285,41.173578,-8.589834,True
T286,41.124753,-8.599878,False
T287,41.157738,-8.677836,False
T288,41.15331,-8.599482,True
T289,41.14854,-8.610975,True
T290,41.146767,-8.605683,False
T291,41.164821,-8.62794,True
T292,41.176899,-8.595504,True
T293,41.173443,-8.590041,True
T294,41.150205,-8.600238,False
T295,41.126445,-8.60427,False
T296,41.186592,-8.689806,True
T297,41.19039,-8.609328,True
T298,41.151204,-8.609751,False
T299,41.236668,-8.669304,True
T300,41.206986,-8.636922,False
T301,41.236785,-8.669925,True
T302,41.146803,-8.605431,False
T303,41.163561,-8.627769,True
T304,41.15592,-8.629587,True
T305,41.160924,-8.629191,False
T306,41.153418,-8.654481,False
T307,41.235147,-8.669376,False
T308,41.173434,-8.5554,True
T309,41.155524,-8.589123,False
T310,41.163372,-8.676189,False
T311,41.158647,-8.594379,True
T312,41.175999,-8.643816,True
T313,41.169366,-8.666622,False
T314,41.161644,-8.611398,False
T315,41.149926,-8.618004,False
T316,41.148864,-8.586036,False
T317,41.140593,-8.636094,False
T318,41.140476,-8.613072,True
T319,41.173245,-8.684883,False
T320,41.14899,-8.585829,False
T321,41.143329,-8.534961,True
T322,41.19813,-8.598312,False
T323,41.149737,-8.60562,False
T324,41.148981,-8.586252,True
T325,41.153787,-8.674011,False
T326,41.195808,-8.612667,False
T327,41.144265,-8.617554,False
